second,src,dst,packetcount,src_ratio,dst_ratio,src_duration_ratio,dst_duration_ratio,TotalPacketDuration,TotalPacketLenght,src_packet_ratio,dst_packet_ratio,DioCount,DisCount,DaoCount,OtherMsg,label
60.0,16,28,1,0.5,0.5,0.0034377747,0.0034377747,0.003208160400390625,68,0.41463414,0.41463414,0,0,0,1,3
60.0,37,49,1,0.5,0.5,0.9965622425079346,0.9965622425079346,0.9300003051757812,96,0.5853658318519592,0.5853658318519592,1,0,0,0,3
61.0,35,49,1,0.1666666716337204,0.1666666716337204,0.339363157749176,0.339363157749176,0.2999992370605469,96,0.28486648201942444,0.28486648201942444,1,0,0,0,3
61.0,1,32,1,0.1666666716337204,0.6666666865348816,0.0226247850805521,0.6561058163642883,0.020000457763671875,37,0.10979228466749191,0.43916913866996765,0,0,0,1,3
61.0,3,32,1,0.1666666716337204,0.6666666865348816,0.011314550414681435,0.6561058163642883,0.01000213623046875,37,0.10979228466749191,0.43916913866996765,0,0,0,1,3
61.0,4,32,1,0.1666666716337204,0.6666666865348816,0.03393502160906792,0.6561058163642883,0.029998779296875,37,0.10979228466749191,0.43916913866996765,0,0,0,1,3
61.0,7,32,1,0.1666666716337204,0.6666666865348816,0.5882315039634705,0.6561058163642883,0.5200004577636719,37,0.10979228466749191,0.43916913866996765,0,0,0,1,3
61.0,22,16,1,0.1666666716337204,0.1666666716337204,0.004530998412519693,0.004530998412519693,0.00400543212890625,93,0.2759643793106079,0.2759643793106079,0,0,1,0,3
62.0,22,16,1,0.25,0.25,0.004392677918076515,0.004392677918076515,0.004039764404296875,94,0.3122923672199249,0.3122923672199249,0,0,1,0,3
62.0,16,22,2,0.5,0.5,0.0061099291779100895,0.0061099291779100895,0.005619049072265625,111,0.3687707781791687,0.3687707781791687,0,0,0,2,3
62.0,44,49,1,0.25,0.25,0.9894973635673523,0.9894973635673523,0.9099998474121094,96,0.31893688440322876,0.31893688440322876,1,0,0,0,3
63.0,24,16,2,1.0,1.0,1.0,1.0,0.00804901123046875,187,1.0,1.0,0,0,2,0,3
64.0,16,24,2,0.6666666865348816,0.6666666865348816,0.004507980775088072,0.004507980775088072,0.005615234375,111,0.5362318754196167,0.5362318754196167,0,0,0,2,3
64.0,45,49,1,0.3333333432674408,0.3333333432674408,0.9954920411109924,0.9954920411109924,1.2400054931640625,96,0.4637681245803833,0.4637681245803833,1,0,0,0,3
65.0,8,32,1,0.25,0.5,0.016163546591997147,0.12124510854482651,0.0399932861328125,37,0.1360294073820114,0.2720588147640228,0,0,0,1,3
65.0,12,32,1,0.25,0.5,0.10508155822753906,0.12124510854482651,0.26000213623046875,37,0.1360294073820114,0.2720588147640228,0,0,0,1,3
65.0,36,37,1,0.25,0.25,0.001735993311740458,0.001735993311740458,0.00429534912109375,102,0.375,0.375,1,0,0,0,3
65.0,39,49,1,0.25,0.25,0.877018928527832,0.877018928527832,2.1699981689453125,96,0.3529411852359772,0.3529411852359772,1,0,0,0,3
67.0,41,49,1,1.0,1.0,1.0,1.0,1.1800003051757812,96,1.0,1.0,1,0,0,0,3
69.0,1,0,1,0.1111111119389534,0.1111111119389534,0.002323578344658017,0.002323578344658017,0.00177001953125,23,0.05263157933950424,0.05263157933950424,0,0,0,1,3
