second,src,dst,packetcount,src_ratio,dst_ratio,src_duration_ratio,dst_duration_ratio,TotalPacketDuration,TotalPacketLenght,src_packet_ratio,dst_packet_ratio,DioCount,DisCount,DaoCount,OtherMsg,label
61.0,2,32,1,0.5,1.0,0.01388922,1.0,0.020000457763671875,37,0.5,1.0,0,0,0,1,5
61.0,4,32,1,0.5,1.0,0.9861108064651489,1.0,1.4199981689453125,37,0.5,1.0,0,0,0,1,5
62.0,24,16,2,0.6666666865348816,0.6666666865348816,0.7514244914054871,0.7514244914054871,0.00804901123046875,187,0.7857142686843872,0.7857142686843872,0,0,2,0,5
62.0,16,24,1,0.3333333432674408,0.3333333432674408,0.24857549369335175,0.24857549369335175,0.00266265869140625,51,0.2142857164144516,0.2142857164144516,0,0,0,1,5
63.0,16,24,1,1.0,1.0,1.0,1.0,0.00295257568359375,60,1.0,1.0,0,0,0,2,5
65.0,3,32,1,0.5,0.5,0.9871510863304138,0.9871510863304138,0.3300018310546875,37,0.26618704199790955,0.26618704199790955,0,0,0,1,5
65.0,36,35,1,0.5,0.5,0.012848894111812115,0.012848894111812115,0.00429534912109375,102,0.7338129281997681,0.7338129281997681,1,0,0,0,5
66.0,34,49,1,0.3333333432674408,1.0,0.0,1.0,0.0,26,0.1756756752729416,1.0,0,1,0,1,5
66.0,39,49,1,0.3333333432674408,1.0,0.33333060145378113,1.0,0.30999755859375,26,0.1756756752729416,1.0,0,1,0,1,5
66.0,41,49,1,0.3333333432674408,1.0,0.6666694283485413,1.0,0.6200027465820312,96,0.6486486196517944,1.0,1,0,0,0,5
67.0,35,49,1,1.0,1.0,1.0,1.0,0.6599960327148438,96,1.0,1.0,1,0,0,0,5
68.0,39,35,1,0.5,0.5,0.7081760764122009,0.7081760764122009,0.00429534912109375,102,0.8159999847412109,0.8159999847412109,1,0,0,0,5
68.0,3,0,1,0.5,0.5,0.2918238937854767,0.2918238937854767,0.00177001953125,23,0.18400000035762787,0.18400000035762787,0,0,0,1,5
69.0,2,0,1,0.20000000298023224,0.20000000298023224,0.002106257015839219,0.002106257015839219,0.00177001953125,23,0.06388889253139496,0.06388889253139496,0,0,0,1,5
69.0,34,35,1,0.20000000298023224,0.4000000059604645,0.005120383575558662,0.010231688618659973,0.004302978515625,102,0.28333333134651184,0.5666666626930237,1,0,0,0,5
69.0,0,32,1,0.20000000298023224,0.20000000298023224,0.35698333382606506,0.35698333382606506,0.29999542236328125,37,0.10277777910232544,0.10277777910232544,0,0,0,1,5
69.0,39,35,1,0.20000000298023224,0.4000000059604645,0.005111304577440023,0.010231688618659973,0.00429534912109375,102,0.28333333134651184,0.5666666626930237,1,0,0,0,5
69.0,36,49,1,0.20000000298023224,0.20000000298023224,0.6306787133216858,0.6306787133216858,0.529998779296875,96,0.2666666805744171,0.2666666805744171,1,0,0,0,5
70.0,34,35,1,1.0,1.0,1.0,1.0,0.00429534912109375,102,1.0,1.0,1,0,0,0,5
71.0,37,49,1,0.5,0.5,0.9937229752540588,0.9937229752540588,0.6800003051757812,96,0.4848484992980957,0.4848484992980957,1,0,0,0,5
71.0,39,35,1,0.5,0.5,0.006277036853134632,0.006277036853134632,0.00429534912109375,102,0.5151515007019043,0.5151515007019043,1,0,0,0,5
73.0,2,32,1,0.25,0.5,0.1292230784893036,0.4738398790359497,0.05999755859375,37,0.1360294073820114,0.2720588147640228,0,0,0,2,5
73.0,8,32,1,0.25,0.5,0.3446168005466461,0.4738398790359497,0.160003662109375,37,0.1360294073820114,0.2720588147640228,0,0,0,1,5
73.0,39,35,1,0.25,0.25,0.009251347742974758,0.009251347742974758,0.00429534912109375,102,0.375,0.375,1,0,0,0,5
73.0,41,49,1,0.25,0.25,0.5169087648391724,0.5169087648391724,0.23999786376953125,96,0.3529411852359772,0.3529411852359772,1,0,0,0,5
74.0,34,35,1,1.0,1.0,1.0,1.0,0.004302978515625,102,1.0,1.0,1,0,0,0,5
76.0,34,35,1,0.20000000298023224,0.20000000298023224,0.23906581103801727,0.23906581103801727,0.00429534912109375,102,0.2549999952316284,0.2549999952316284,1,0,0,0,5
76.0,22,16,2,0.4000000059604645,0.4000000059604645,0.4484076499938965,0.4484076499938965,0.008056640625,187,0.4675000011920929,0.4675000011920929,0,0,2,0,5
76.0,16,22,2,0.4000000059604645,0.4000000059604645,0.31252655386924744,0.31252655386924744,0.005615234375,111,0.2775000035762787,0.2775000035762787,0,0,0,2,5
77.0,3,32,1,0.3333333432674408,1.0,0.004785702098160982,1.0,0.01000213623046875,37,0.3333333432674408,1.0,0,0,0,2,5
77.0,4,32,1,0.3333333432674408,1.0,0.009571404196321964,1.0,0.0200042724609375,37,0.3333333432674408,1.0,0,0,0,2,5
77.0,6,32,1,0.3333333432674408,1.0,0.9856429100036621,1.0,2.05999755859375,37,0.3333333432674408,1.0,0,0,0,1,5
79.0,39,49,1,1.0,1.0,1.0,1.0,0.9300003051757812,96,1.0,1.0,1,0,0,1,5
